datetime,temperature,solar,cooling,heating,pv,total
2018-01-01 01:00:00,8.9,0.0,7.6,4896.4,-0.0,13962.1
2018-01-01 02:00:00,8.3,0.0,11.3,4881.3,-0.0,11696.2
2018-01-01 03:00:00,8.3,0.0,0.0,7656.3,-0.0,12894.2
2018-01-01 04:00:00,7.2,0.0,4.4,3637.9,-0.0,8504.4
2018-01-01 05:00:00,7.0,0.0,22.5,3881.2,-0.0,8363.3
2018-01-01 06:00:00,6.7,0.0,2.3,4227.6,-0.0,8474.0
2018-01-01 07:00:00,8.3,0.0,11.8,4634.5,-0.0,8931.2
2018-01-01 08:00:00,4.4,4.0,2.5,5560.5,-0.0,10113.6
2018-01-01 09:00:00,8.9,70.5,18.4,5687.9,-0.0,11839.7
2018-01-01 10:00:00,10.0,193.5,49.1,5250.3,-0.0,11800.4
2018-01-01 11:00:00,10.6,309.5,8.2,6445.1,-0.0,14220.0
2018-01-01 12:00:00,11.1,392.5,2.0,4926.0,-0.0,12463.4
2018-01-01 13:00:00,12.2,401.0,5.6,3394.7,-0.0,10457.2
2018-01-01 14:00:00,12.8,376.0,25.0,2044.8,-0.0,9398.2
2018-01-01 15:00:00,12.8,305.5,56.3,1600.2,-0.0,8248.1
2018-01-01 16:00:00,13.3,192.5,54.2,1299.9,-0.0,8648.1
2018-01-01 17:00:00,11.7,65.5,131.1,535.7,-0.0,7158.2
2018-01-01 18:00:00,11.7,2.5,202.0,246.9,-0.0,7059.3
2018-01-01 19:00:00,10.6,0.0,199.7,190.4,-0.0,8014.5
2018-01-01 20:00:00,10.6,0.0,96.2,687.2,-0.0,8897.2
2018-01-01 21:00:00,10.6,0.0,113.8,593.8,-0.0,10879.2
2018-01-01 22:00:00,8.3,0.0,102.8,914.5,-0.0,12802.8
2018-01-01 23:00:00,6.7,0.0,60.5,1303.0,-0.0,14473.9
2018-01-02 00:00:00,8.9,0.0,68.8,1369.2,-0.0,15122.7
2018-01-02 01:00:00,8.9,0.0,27.2,2316.4,-0.0,12039.2
2018-01-02 02:00:00,8.3,0.0,36.6,3712.5,-0.0,12218.4
2018-01-02 03:00:00,7.2,0.0,6.8,3343.5,-0.0,9102.0
2018-01-02 04:00:00,7.2,0.0,5.1,3813.6,-0.0,8524.2
2018-01-02 05:00:00,6.7,0.0,0.0,4114.4,-0.0,8535.8
2018-01-02 06:00:00,7.2,0.0,2.3,4807.3,-0.0,9192.2
2018-01-02 07:00:00,8.3,0.0,0.0,5181.8,-0.0,9723.7
2018-01-02 08:00:00,8.9,3.5,0.0,6288.4,-0.0,10752.4
2018-01-02 09:00:00,9.4,68.0,37.9,6090.4,-0.0,11250.9
2018-01-02 10:00:00,11.7,164.0,18.7,5478.1,-0.0,12492.2
2018-01-02 11:00:00,11.7,179.0,5.9,5089.7,-0.0,12802.3
2018-01-02 12:00:00,12.8,152.5,51.2,5117.3,-0.0,11789.5
2018-01-02 13:00:00,13.9,138.0,29.3,3523.8,-0.0,10550.0
2018-01-02 14:00:00,13.3,124.0,31.4,2871.1,-0.0,9651.6
2018-01-02 15:00:00,13.3,77.0,5.4,2271.1,-0.0,9129.5
2018-01-02 16:00:00,12.2,49.0,6.3,2244.7,-0.0,9033.6
2018-01-02 17:00:00,12.2,18.0,6.5,1760.3,-0.0,8190.0
2018-01-02 18:00:00,12.2,1.0,26.4,1586.2,-0.0,8137.9
2018-01-02 19:00:00,11.7,0.0,7.3,2038.0,-0.0,9773.7
2018-01-02 20:00:00,12.2,0.0,42.4,2393.4,-0.0,11366.3
2018-01-02 21:00:00,13.3,0.0,20.4,2269.2,-0.0,12074.5
2018-01-02 22:00:00,11.1,0.0,68.4,2512.8,-0.0,14017.3
2018-01-02 23:00:00,11.1,0.0,67.1,2377.2,-0.0,14026.4
2018-01-03 00:00:00,10.6,0.0,57.2,2026.9,-0.0,13780.4
2018-01-03 01:00:00,10.6,0.0,14.9,3039.8,-0.0,12879.4
2018-01-03 02:00:00,10.6,0.0,9.9,3281.7,-0.0,10125.8
2018-01-03 03:00:00,9.4,0.0,0.0,3263.1,-0.0,8347.6
2018-01-03 04:00:00,9.4,0.0,6.0,3548.1,-0.0,8304.6
2018-01-03 05:00:00,10.0,0.0,1.6,3539.1,-0.0,7822.3
2018-01-03 06:00:00,8.3,0.0,2.6,4049.8,-0.0,8424.9
2018-01-03 07:00:00,10.0,0.0,0.6,4193.9,-0.0,8533.4
2018-01-03 08:00:00,8.3,0.5,13.7,4767.6,-0.0,9225.5
2018-01-03 09:00:00,10.6,5.5,13.1,5448.2,-0.0,10406.9
