datetime,temperature,solar,cooling,heating,pv,total
2018-01-01 01:00:00,9.0,0.0,202.4,2837.4,-0.0,11058.3
2018-01-01 02:00:00,8.8,0.0,175.3,3531.8,-0.0,10278.4
2018-01-01 03:00:00,8.1,0.0,99.9,3591.8,-0.0,8904.2
2018-01-01 04:00:00,7.8,0.0,156.1,2194.9,-0.0,6668.5
2018-01-01 05:00:00,7.8,0.0,107.1,2631.5,-0.0,6765.5
2018-01-01 06:00:00,6.7,0.0,72.0,2952.0,-0.0,6850.8
2018-01-01 07:00:00,6.1,0.0,65.5,3405.1,-0.0,7346.9
2018-01-01 08:00:00,6.4,5.0,126.6,3389.3,-0.0,7729.7
2018-01-01 09:00:00,7.6,101.5,114.9,3772.7,-0.0,8965.1
2018-01-01 10:00:00,9.7,222.5,163.2,4106.7,-0.0,10903.0
2018-01-01 11:00:00,12.2,318.5,202.3,4078.4,-0.0,11227.0
2018-01-01 12:00:00,14.7,386.0,145.2,3588.8,-0.0,10344.0
2018-01-01 13:00:00,17.4,394.0,268.4,2353.5,-0.0,8587.0
2018-01-01 14:00:00,18.0,373.0,386.1,1419.6,-0.0,8049.5
2018-01-01 15:00:00,18.1,314.0,595.4,938.7,-0.0,8692.6
2018-01-01 16:00:00,18.0,193.5,799.0,497.5,-0.0,7589.0
2018-01-01 17:00:00,17.4,71.5,1019.2,232.7,-0.0,7608.4
2018-01-01 18:00:00,14.3,2.0,1192.8,172.3,-0.0,7887.4
2018-01-01 19:00:00,12.7,0.0,1287.8,158.7,-0.0,7973.4
2018-01-01 20:00:00,11.2,0.0,1088.0,97.2,-0.0,9061.6
2018-01-01 21:00:00,10.5,0.0,815.4,298.2,-0.0,12301.9
2018-01-01 22:00:00,9.2,0.0,782.7,463.0,-0.0,11883.7
2018-01-01 23:00:00,8.5,0.0,620.5,533.1,-0.0,12383.0
2018-01-02 00:00:00,8.0,0.0,552.2,621.5,-0.0,12118.5
2018-01-02 01:00:00,7.8,0.0,549.0,1259.4,-0.0,10073.2
2018-01-02 02:00:00,7.2,0.0,316.3,1742.7,-0.0,8627.2
2018-01-02 03:00:00,6.2,0.0,213.7,2293.5,-0.0,7455.1
2018-01-02 04:00:00,6.0,0.0,152.7,2607.9,-0.0,7258.2
2018-01-02 05:00:00,6.3,0.0,96.1,3204.3,-0.0,7626.5
2018-01-02 06:00:00,7.0,0.0,56.3,3678.6,-0.0,7770.8
2018-01-02 07:00:00,6.9,0.0,52.3,4161.3,-0.0,8315.8
2018-01-02 08:00:00,7.0,3.5,66.9,4252.8,-0.0,8476.5
2018-01-02 09:00:00,7.5,68.0,94.6,3747.4,-0.0,8722.4
2018-01-02 10:00:00,9.0,178.5,137.5,4020.2,-0.0,11142.3
2018-01-02 11:00:00,10.5,248.0,103.1,4088.6,-0.0,11221.3
2018-01-02 12:00:00,13.1,168.5,181.2,3918.6,-0.0,11131.4
2018-01-02 13:00:00,15.0,263.5,174.5,3494.1,-0.0,10556.4
2018-01-02 14:00:00,16.0,144.0,150.3,2410.0,-0.0,9261.0
2018-01-02 15:00:00,16.7,139.0,217.5,1803.8,-0.0,8815.2
2018-01-02 16:00:00,17.0,60.5,240.1,1195.4,-0.0,7775.1
2018-01-02 17:00:00,17.0,24.5,292.1,682.1,-0.0,7097.7
2018-01-02 18:00:00,16.0,1.5,407.0,437.8,-0.0,6309.4
2018-01-02 19:00:00,16.0,0.0,381.3,486.5,-0.0,7931.3
2018-01-02 20:00:00,15.9,0.0,409.7,375.9,-0.0,8491.4
2018-01-02 21:00:00,14.5,0.0,485.5,440.4,-0.0,10124.2
2018-01-02 22:00:00,13.9,0.0,578.7,282.3,-0.0,11309.5
2018-01-02 23:00:00,12.0,0.0,631.7,280.4,-0.0,12303.4
2018-01-03 00:00:00,11.0,0.0,557.3,395.4,-0.0,10360.0
2018-01-03 01:00:00,11.0,0.0,612.0,621.2,-0.0,9756.4
2018-01-03 02:00:00,11.0,0.0,419.2,1188.1,-0.0,8621.5
2018-01-03 03:00:00,10.7,0.0,280.0,1718.0,-0.0,7612.9
2018-01-03 04:00:00,9.3,0.0,155.6,1799.1,-0.0,6238.2
2018-01-03 05:00:00,9.1,0.0,118.8,1975.4,-0.0,6008.2
2018-01-03 06:00:00,8.4,0.0,95.5,2110.0,-0.0,6076.4
2018-01-03 07:00:00,8.4,0.0,68.4,2628.0,-0.0,6968.4
2018-01-03 08:00:00,8.8,2.0,68.2,2940.3,-0.0,7235.3
2018-01-03 09:00:00,8.8,12.0,151.2,3322.1,-0.0,8823.6
2018-01-03 10:00:00,10.7,30.0,223.7,3299.1,-0.0,10073.0
2018-01-03 11:00:00,12.7,106.0,220.0,3386.7,-0.0,10637.9
2018-01-03 12:00:00,13.0,80.5,214.0,3774.0,-0.0,11309.7
2018-01-03 13:00:00,13.0,47.5,133.9,3231.5,-0.0,9921.2
2018-01-03 14:00:00,12.4,44.5,229.2,2266.5,-0.0,9658.5
2018-01-03 15:00:00,12.6,40.0,180.2,2178.9,-0.0,9243.5
2018-01-03 16:00:00,13.0,43.5,153.8,2342.2,-0.0,8619.2
2018-01-03 17:00:00,12.0,23.0,132.8,2111.0,-0.0,8506.0
2018-01-03 18:00:00,12.0,1.0,116.6,1601.9,-0.0,7657.8
2018-01-03 19:00:00,12.0,0.0,137.6,1839.2,-0.0,8964.0
2018-01-03 20:00:00,11.0,0.0,163.3,1948.9,-0.0,9466.3
2018-01-03 21:00:00,10.9,0.0,202.3,1857.9,-0.0,11141.1
2018-01-03 22:00:00,11.0,0.0,275.7,1675.6,-0.0,12351.3
2018-01-03 23:00:00,11.0,0.0,285.9,1839.5,-0.0,13081.8
2018-01-04 00:00:00,11.0,0.0,342.1,1800.9,-0.0,12386.3
2018-01-04 01:00:00,11.2,0.0,324.4,1989.5,-0.0,11067.1
2018-01-04 02:00:00,11.0,0.0,267.9,2315.6,-0.0,8982.9
2018-01-04 03:00:00,11.9,0.0,218.1,2314.1,-0.0,7889.1
2018-01-04 04:00:00,12.0,0.0,168.0,2405.0,-0.0,6753.5
2018-01-04 05:00:00,12.0,0.0,105.7,2665.6,-0.0,6682.4
2018-01-04 06:00:00,11.7,0.0,116.3,2608.5,-0.0,6668.7
2018-01-04 07:00:00,11.6,0.0,90.5,2405.1,-0.0,6466.8
2018-01-04 08:00:00,11.0,3.0,170.7,2433.3,-0.0,6903.1
2018-01-04 09:00:00,11.3,45.0,194.6,2453.6,-0.0,8159.6
2018-01-04 10:00:00,11.9,144.5,262.9,2231.5,-0.0,9001.3
2018-01-04 11:00:00,13.3,301.0,257.2,2471.0,-0.0,9959.1
2018-01-04 12:00:00,14.4,255.0,223.7,2536.7,-0.0,9555.2
2018-01-04 13:00:00,15.3,285.5,271.8,1663.6,-0.0,8205.4
2018-01-04 14:00:00,16.0,380.5,390.6,990.3,-0.0,8603.4
2018-01-04 15:00:00,16.7,302.5,507.3,708.4,-0.0,7734.6
2018-01-04 16:00:00,17.0,186.5,648.1,551.8,-0.0,7468.0
2018-01-04 17:00:00,16.7,55.5,816.8,305.5,-0.0,7256.9
2018-01-04 18:00:00,15.3,2.0,1093.3,189.0,-0.0,7301.7
2018-01-04 19:00:00,14.0,0.0,1179.2,215.9,-0.0,8056.4
2018-01-04 20:00:00,14.0,0.0,1014.9,226.2,-0.0,9506.5
2018-01-04 21:00:00,14.0,0.0,1011.9,254.5,-0.0,10891.7
2018-01-04 22:00:00,13.2,0.0,874.2,268.8,-0.0,11580.6
2018-01-04 23:00:00,13.9,0.0,836.4,274.9,-0.0,11866.5
2018-01-05 00:00:00,12.9,0.0,817.5,249.3,-0.0,11032.6
2018-01-05 01:00:00,14.2,0.0,731.8,431.2,-0.0,9747.0
2018-01-05 02:00:00,14.3,0.0,621.8,564.0,-0.0,7850.7
2018-01-05 03:00:00,14.0,0.0,386.7,795.1,-0.0,6480.8
2018-01-05 04:00:00,13.8,0.0,368.4,668.1,-0.0,5982.2
2018-01-05 05:00:00,13.8,0.0,277.7,779.0,-0.0,5397.4
2018-01-05 06:00:00,12.3,0.0,219.4,868.4,-0.0,5062.2
2018-01-05 07:00:00,11.9,0.0,210.9,1024.1,-0.0,5134.8
2018-01-05 08:00:00,11.8,2.0,185.9,1031.9,-0.0,5163.8
2018-01-05 09:00:00,12.8,25.0,258.7,1544.6,-0.0,6412.0
2018-01-05 10:00:00,13.7,93.5,363.7,1372.3,-0.0,8585.7
2018-01-05 11:00:00,14.3,101.5,297.6,1477.5,-0.0,9545.9
2018-01-05 12:00:00,15.9,79.0,300.2,1664.5,-0.0,8974.4
2018-01-05 13:00:00,17.8,156.0,249.8,1265.7,-0.0,8987.1
2018-01-05 14:00:00,18.0,66.5,235.0,1004.1,-0.0,8033.8
2018-01-05 15:00:00,17.1,77.5,318.7,719.2,-0.0,7748.0
2018-01-05 16:00:00,15.1,73.0,430.2,560.3,-0.0,7792.7
2018-01-05 17:00:00,15.6,28.0,451.5,455.7,-0.0,7582.0
2018-01-05 18:00:00,14.3,1.0,440.5,398.3,-0.0,7876.3
2018-01-05 19:00:00,14.0,0.0,362.4,722.4,-0.0,9143.2
2018-01-05 20:00:00,13.4,0.0,515.9,460.9,-0.0,9541.5
2018-01-05 21:00:00,13.0,0.0,541.6,728.3,-0.0,11833.3
2018-01-05 22:00:00,13.0,0.0,592.0,593.9,-0.0,12304.2
2018-01-05 23:00:00,13.1,0.0,563.0,706.0,-0.0,12392.7
