datetime,temperature,solar,cooling,heating,pv,total
2018-01-01 01:00:00,2.2,0.0,1266.3,139729.1,-0.0,308236.8
2018-01-01 02:00:00,2.2,0.0,927.4,137204.2,-0.0,272158.7
2018-01-01 03:00:00,0.0,0.0,388.7,176105.6,-0.0,281472.2
2018-01-01 04:00:00,-1.1,0.0,770.8,82212.4,-0.0,168573.2
2018-01-01 05:00:00,0.0,0.0,693.3,86313.59999999999,-0.0,165209.3
2018-01-01 06:00:00,-1.1,0.0,476.9,117049.0,-0.0,195111.5
2018-01-01 07:00:00,-1.1,0.0,416.5,132817.1,-0.0,213088.5
2018-01-01 08:00:00,0.0,19.5,460.6,130401.3,-0.0,214973.8
2018-01-01 09:00:00,5.0,134.5,657.2,146253.3,-0.0,247950.1
2018-01-01 10:00:00,8.3,306.0,847.4,143942.9,-0.0,272234.2
2018-01-01 11:00:00,12.8,413.5,906.0,132917.8,-0.0,270639.7
2018-01-01 12:00:00,15.0,491.0,1491.9,85359.6,-0.0,217701.3
2018-01-01 13:00:00,16.7,534.0,2710.9,50470.4,-0.0,177877.4
2018-01-01 14:00:00,18.9,459.0,5302.6,23211.2,-0.0,155292.3
2018-01-01 15:00:00,18.3,332.0,8668.8,12316.8,-0.0,145907.1
2018-01-01 16:00:00,18.3,207.5,13294.8,8106.7,-0.0,145184.9
2018-01-01 17:00:00,16.1,56.5,18476.6,2956.1,-0.0,143581.0
2018-01-01 18:00:00,12.2,0.0,20410.4,1975.0,-0.0,147212.9
2018-01-01 19:00:00,9.4,0.0,21439.2,1286.8,-0.0,157544.6
2018-01-01 20:00:00,6.7,0.0,15901.5,2149.5,-0.0,170040.9
2018-01-01 21:00:00,4.4,0.0,10734.8,6742.3,-0.0,199405.8
2018-01-01 22:00:00,3.9,0.0,7105.6,14115.9,-0.0,224301.7
2018-01-01 23:00:00,4.4,0.0,5533.7,23226.2,-0.0,238547.2
2018-01-02 00:00:00,4.4,0.0,3921.8,39563.0,-0.0,238393.0
2018-01-02 01:00:00,3.9,0.0,3200.6,53575.3,-0.0,226357.9
2018-01-02 02:00:00,2.8,0.0,2211.5,63760.799999999996,-0.0,198180.1
2018-01-02 03:00:00,2.8,0.0,1582.5,64659.299999999996,-0.0,167118.0
2018-01-02 04:00:00,3.3,0.0,1095.6,68492.7,-0.0,156637.4
2018-01-02 05:00:00,4.4,0.0,825.0,80230.8,-0.0,161521.7
2018-01-02 06:00:00,3.9,0.0,707.4,90182.1,-0.0,168816.8
2018-01-02 07:00:00,2.8,0.0,859.5,91500.5,-0.0,171127.8
2018-01-02 08:00:00,3.3,12.0,953.7,88876.1,-0.0,170617.7
2018-01-02 09:00:00,6.7,68.0,1226.7,92559.4,-0.0,187810.8
2018-01-02 10:00:00,8.9,187.5,1652.6,101327.59999999999,-0.0,228596.3
2018-01-02 11:00:00,13.3,298.0,1382.7,100062.4,-0.0,238951.7
2018-01-02 12:00:00,15.6,366.5,1767.8,76467.5,-0.0,211528.0
2018-01-02 13:00:00,18.3,400.5,2158.0,54058.9,-0.0,187140.3
2018-01-02 14:00:00,20.0,414.0,3360.1,25584.0,-0.0,157531.2
2018-01-02 15:00:00,20.6,328.0,5197.0,13228.8,-0.0,143438.9
2018-01-02 16:00:00,19.4,208.0,8690.0,7082.7,-0.0,138091.8
2018-01-02 17:00:00,15.6,55.5,13364.9,2772.9,-0.0,138740.6
2018-01-02 18:00:00,13.9,1.0,17529.0,1516.7,-0.0,139029.5
2018-01-02 19:00:00,13.3,0.0,17523.6,1439.7,-0.0,151697.7
2018-01-02 20:00:00,10.6,0.0,12274.1,2653.4,-0.0,168595.6
2018-01-02 21:00:00,8.9,0.0,10565.7,3806.2,-0.0,200623.5
2018-01-02 22:00:00,6.1,0.0,10363.5,4869.2,-0.0,218059.8
2018-01-02 23:00:00,4.4,0.0,8494.5,9825.0,-0.0,226667.4
2018-01-03 00:00:00,3.9,0.0,6953.4,16385.3,-0.0,217927.7
2018-01-03 01:00:00,2.8,0.0,4473.3,31743.6,-0.0,201165.4
2018-01-03 02:00:00,1.7,0.0,2827.1,49093.7,-0.0,180632.2
2018-01-03 03:00:00,2.2,0.0,1583.3,60500.9,-0.0,160176.4
2018-01-03 04:00:00,1.7,0.0,724.1,78398.90000000001,-0.0,163509.2
2018-01-03 05:00:00,-1.7,0.0,617.2,90282.3,-0.0,171250.2
2018-01-03 06:00:00,-1.1,0.0,565.5,98650.6,-0.0,177386.5
2018-01-03 07:00:00,-1.1,0.0,594.8,108126.7,-0.0,187489.0
2018-01-03 08:00:00,3.3,16.5,358.0,143626.19999999998,-0.0,228501.3
2018-01-03 09:00:00,5.6,95.0,672.9,141588.5,-0.0,241493.9
2018-01-03 10:00:00,8.3,210.5,863.4,146574.1,-0.0,276925.2
2018-01-03 11:00:00,11.1,350.0,1298.9,109654.4,-0.0,248158.7
2018-01-03 12:00:00,13.9,343.0,1290.0,89149.6,-0.0,225065.4
2018-01-03 13:00:00,14.4,254.0,1851.0,60015.5,-0.0,192028.9
2018-01-03 14:00:00,15.0,137.0,2693.8,33728.8,-0.0,164346.3
2018-01-03 15:00:00,16.1,164.0,3675.2,18384.2,-0.0,145976.2
2018-01-03 16:00:00,15.6,147.5,4211.1,16101.1,-0.0,141615.9
2018-01-03 17:00:00,13.3,65.0,4236.4,11153.0,-0.0,134022.3
2018-01-03 18:00:00,12.8,1.0,5625.6,7079.7,-0.0,131172.1
2018-01-03 19:00:00,10.0,0.0,6907.6,5968.5,-0.0,139095.2
2018-01-03 20:00:00,9.4,0.0,5647.9,10037.5,-0.0,166501.3
2018-01-03 21:00:00,7.8,0.0,6125.4,11067.8,-0.0,198821.0
2018-01-03 22:00:00,8.3,0.0,5210.1,17575.4,-0.0,231013.5
2018-01-03 23:00:00,4.4,0.0,5391.7,22326.5,-0.0,236892.6
2018-01-04 00:00:00,5.0,0.0,4278.7,32100.5,-0.0,232121.9
2018-01-04 01:00:00,3.3,0.0,3960.4,34784.8,-0.0,205060.7
2018-01-04 02:00:00,3.3,0.0,1951.7,65402.0,-0.0,198324.0
2018-01-04 03:00:00,2.2,0.0,1397.9,66257.2,-0.0,166942.5
2018-01-04 04:00:00,3.3,0.0,836.4,76826.9,-0.0,163622.7
2018-01-04 05:00:00,2.8,0.0,772.9,84731.59999999999,-0.0,165430.2
2018-01-04 06:00:00,0.6,0.0,556.0,103467.3,-0.0,183077.7
2018-01-04 07:00:00,0.6,0.0,751.2,100793.5,-0.0,179934.9
2018-01-04 08:00:00,3.3,27.5,650.6,107216.3,-0.0,190764.3
2018-01-04 09:00:00,6.1,68.5,926.5,127535.09999999999,-0.0,227823.9
2018-01-04 10:00:00,10.6,262.0,1223.4,125248.3,-0.0,253792.1
2018-01-04 11:00:00,13.9,400.5,1422.2,103059.2,-0.0,242647.1
2018-01-04 12:00:00,17.8,530.5,1650.8,80753.2,-0.0,218635.6
2018-01-04 13:00:00,20.6,526.5,2982.5,42647.2,-0.0,175893.5
2018-01-04 14:00:00,21.7,498.0,5708.7,19789.5,-0.0,153838.6
2018-01-04 15:00:00,21.7,399.5,10478.5,8069.8,-0.0,146313.0
2018-01-04 16:00:00,20.6,250.0,16862.4,4586.0,-0.0,146841.5
2018-01-04 17:00:00,17.8,85.0,23719.6,1864.5,-0.0,151915.6
2018-01-04 18:00:00,16.7,1.0,28236.9,1095.1,-0.0,157034.3
2018-01-04 19:00:00,16.1,0.0,27383.7,894.8,-0.0,165972.0
2018-01-04 20:00:00,12.8,0.0,19937.9,1186.8,-0.0,179596.7
2018-01-04 21:00:00,13.3,0.0,16465.3,1515.3,-0.0,202859.9
2018-01-04 22:00:00,15.6,0.0,14198.2,2469.4,-0.0,224586.8
2018-01-04 23:00:00,14.4,0.0,11930.0,4285.6,-0.0,222976.9
2018-01-05 00:00:00,12.8,0.0,11685.0,4926.1,-0.0,211354.2
2018-01-05 01:00:00,10.6,0.0,10864.3,6688.4,-0.0,183075.9
2018-01-05 02:00:00,10.0,0.0,8038.5,10038.9,-0.0,148389.7
2018-01-05 03:00:00,6.7,0.0,5640.7,12700.3,-0.0,115342.3
2018-01-05 04:00:00,7.2,0.0,3709.3,17392.1,-0.0,106340.8
2018-01-05 05:00:00,6.7,0.0,2999.9,22343.4,-0.0,102631.0
2018-01-05 06:00:00,5.6,0.0,1731.4,43485.4,-0.0,119592.6
2018-01-05 07:00:00,2.2,0.0,2050.4,43503.8,-0.0,121539.5
2018-01-05 08:00:00,6.1,30.0,1735.0,50358.3,-0.0,133454.4
2018-01-05 09:00:00,11.7,181.0,2247.7,56531.7,-0.0,155843.9
2018-01-05 10:00:00,15.6,346.0,2120.3,79595.9,-0.0,206439.5
2018-01-05 11:00:00,18.9,476.5,2991.4,53279.4,-0.0,192431.2
2018-01-05 12:00:00,21.1,553.0,6350.0,25001.1,-0.0,161242.3
2018-01-05 13:00:00,21.7,565.5,11263.3,11207.1,-0.0,153649.9
2018-01-05 14:00:00,21.7,501.5,16314.0,5168.3,-0.0,153774.6
2018-01-05 15:00:00,21.7,373.5,22497.5,2566.6,-0.0,154634.1
2018-01-05 16:00:00,19.4,228.5,27960.5,1707.3,-0.0,158428.8
2018-01-05 17:00:00,17.2,77.5,31525.4,780.1,-0.0,156935.6
2018-01-05 18:00:00,16.1,1.0,33521.7,608.8,-0.0,158202.4
2018-01-05 19:00:00,15.0,0.0,28699.5,832.0,-0.0,163153.3
2018-01-05 20:00:00,14.4,0.0,20575.5,1166.2,-0.0,176219.3
2018-01-05 21:00:00,13.3,0.0,16965.2,2015.0,-0.0,204996.5
2018-01-05 22:00:00,12.2,0.0,13516.6,4158.0,-0.0,222389.2
2018-01-05 23:00:00,13.9,0.0,12837.7,4474.6,-0.0,224718.8
2018-01-06 00:00:00,13.9,0.0,13562.9,4325.9,-0.0,213276.8
2018-01-06 01:00:00,12.2,0.0,10943.1,7828.2,-0.0,182121.8
2018-01-06 02:00:00,11.1,0.0,9696.6,7450.5,-0.0,147404.8
2018-01-06 03:00:00,8.9,0.0,5373.7,14697.7,-0.0,117445.4
2018-01-06 04:00:00,8.9,0.0,5016.5,13711.9,-0.0,103558.5
2018-01-06 05:00:00,11.1,0.0,3554.4,19659.0,-0.0,100531.5
2018-01-06 06:00:00,8.3,0.0,2650.6,31316.2,-0.0,108266.2
2018-01-06 07:00:00,13.9,0.0,2477.5,35504.6,-0.0,112216.9
2018-01-06 08:00:00,15.6,14.0,2506.0,31746.5,-0.0,109402.2
2018-01-06 09:00:00,17.8,82.0,1969.8,44249.3,-0.0,127296.6
2018-01-06 10:00:00,18.9,231.0,3528.4,31216.9,-0.0,132915.2
2018-01-06 11:00:00,20.6,333.0,5546.8,21443.2,-0.0,151054.3
2018-01-06 12:00:00,21.1,403.0,8366.3,12270.0,-0.0,163580.1
2018-01-06 13:00:00,21.1,386.0,11821.8,6740.2,-0.0,164487.0
2018-01-06 14:00:00,20.6,348.5,17153.2,3180.3,-0.0,163582.9
2018-01-06 15:00:00,19.4,281.0,21093.5,1614.4,-0.0,171174.9
2018-01-06 16:00:00,18.3,149.5,23859.9,1107.2,-0.0,173588.0
2018-01-06 17:00:00,15.6,53.5,24339.1,731.2,-0.0,164736.9
2018-01-06 18:00:00,15.0,0.5,23010.6,930.0,-0.0,164338.3
2018-01-06 19:00:00,14.4,0.0,17276.6,3280.4,-0.0,166182.9
2018-01-06 20:00:00,14.4,0.0,10267.1,9397.9,-0.0,183983.5
2018-01-06 21:00:00,13.9,0.0,8535.0,13604.9,-0.0,211351.9
2018-01-06 22:00:00,12.8,0.0,8834.5,12995.2,-0.0,232407.7
2018-01-06 23:00:00,11.7,0.0,9041.1,13000.0,-0.0,234318.3
2018-01-07 00:00:00,12.8,0.0,9232.9,13281.9,-0.0,221912.9
2018-01-07 01:00:00,12.2,0.0,8758.7,12782.2,-0.0,193142.3
2018-01-07 02:00:00,9.4,0.0,7001.5,15505.4,-0.0,156536.8
2018-01-07 03:00:00,8.3,0.0,4848.8,20141.6,-0.0,125543.1
2018-01-07 04:00:00,7.8,0.0,3648.6,22669.9,-0.0,109755.7
2018-01-07 05:00:00,6.1,0.0,2656.2,31952.1,-0.0,111166.7
2018-01-07 06:00:00,5.6,0.0,2352.8,37438.6,-0.0,114194.8
2018-01-07 07:00:00,3.3,0.0,2213.4,44193.7,-0.0,120498.2
2018-01-07 08:00:00,2.8,27.0,1516.4,56185.8,-0.0,134244.7
2018-01-07 09:00:00,8.3,166.5,1401.9,64465.1,-0.0,147341.8
2018-01-07 10:00:00,10.0,300.0,1234.6,85254.7,-0.0,187594.1
2018-01-07 11:00:00,13.3,383.0,2056.6,83777.9,-0.0,209780.3
2018-01-07 12:00:00,16.7,551.0,5607.9,41189.1,-0.0,190216.7
2018-01-07 13:00:00,18.3,574.0,8145.4,26274.0,-0.0,183817.8
2018-01-07 14:00:00,18.3,485.0,12862.5,11908.6,-0.0,168958.9
2018-01-07 15:00:00,18.3,314.0,20037.9,4979.6,-0.0,170480.0
2018-01-07 16:00:00,18.3,244.0,25779.3,3105.8,-0.0,174111.0
2018-01-07 17:00:00,16.1,82.5,29231.2,1503.3,-0.0,171680.2
2018-01-07 18:00:00,12.2,1.0,31705.1,748.0,-0.0,176423.2
2018-01-07 19:00:00,11.1,0.0,32292.5,658.0,-0.0,184437.4
2018-01-07 20:00:00,10.6,0.0,24448.2,1258.0,-0.0,191023.2
2018-01-07 21:00:00,11.1,0.0,15994.8,4767.0,-0.0,213425.7
2018-01-07 22:00:00,11.1,0.0,13108.7,7080.5,-0.0,231935.1
2018-01-07 23:00:00,11.7,0.0,11642.5,8613.2,-0.0,233317.7
2018-01-08 00:00:00,10.6,0.0,10219.1,11444.3,-0.0,225410.5
2018-01-08 01:00:00,10.6,0.0,9034.8,13001.6,-0.0,194003.9
2018-01-08 02:00:00,10.6,0.0,7596.8,13853.3,-0.0,157652.1
2018-01-08 03:00:00,10.0,0.0,4979.5,19403.0,-0.0,125012.7
2018-01-08 04:00:00,10.0,0.0,3314.3,24457.2,-0.0,114246.5
2018-01-08 05:00:00,10.0,0.0,2648.5,28523.8,-0.0,108597.2
2018-01-08 06:00:00,10.0,0.0,2431.9,33561.0,-0.0,110668.1
2018-01-08 07:00:00,9.4,0.0,2715.8,34397.0,-0.0,112289.3
2018-01-08 08:00:00,9.4,2.5,2844.3,35399.2,-0.0,117400.0
2018-01-08 09:00:00,10.0,8.5,3236.8,35837.5,-0.0,132903.3
2018-01-08 10:00:00,10.6,64.0,4094.9,38422.6,-0.0,165864.6
2018-01-08 11:00:00,10.6,50.0,4014.9,39124.5,-0.0,177190.3
2018-01-08 12:00:00,11.1,119.0,3326.9,38949.3,-0.0,169862.1
2018-01-08 13:00:00,11.1,108.0,2937.0,37933.8,-0.0,171356.7
2018-01-08 14:00:00,10.6,99.5,2661.0,36615.2,-0.0,164458.7
2018-01-08 15:00:00,10.0,63.0,2666.7,31821.8,-0.0,158480.6
2018-01-08 16:00:00,10.0,38.0,2709.4,31189.4,-0.0,155329.3
2018-01-08 17:00:00,9.4,14.5,2470.7,30726.0,-0.0,150616.2
2018-01-08 18:00:00,9.3,1.0,1961.9,33260.3,-0.0,152212.0
2018-01-08 19:00:00,9.6,0.0,2268.6,34664.3,-0.0,166079.3
2018-01-08 20:00:00,9.5,0.0,2549.4,40202.9,-0.0,194569.3
2018-01-08 21:00:00,10.0,0.0,3134.2,38312.9,-0.0,223181.2
2018-01-08 22:00:00,9.4,0.0,4130.7,35185.6,-0.0,247096.2
2018-01-08 23:00:00,9.3,0.0,4844.9,35558.5,-0.0,249689.6
2018-01-09 00:00:00,8.9,0.0,5151.0,34735.7,-0.0,232378.0
2018-01-09 01:00:00,8.9,0.0,4435.2,40108.2,-0.0,211525.9
2018-01-09 02:00:00,8.5,0.0,3699.6,43617.8,-0.0,177477.5
2018-01-09 03:00:00,8.2,0.0,2529.6,47696.7,-0.0,147439.8
2018-01-09 04:00:00,7.3,0.0,1978.8,47117.9,-0.0,133442.3
2018-01-09 05:00:00,6.9,0.0,1683.3,50004.7,-0.0,131226.0
2018-01-09 06:00:00,7.2,0.0,1520.1,58036.2,-0.0,136140.1
2018-01-09 07:00:00,8.0,0.0,1514.3,64934.4,-0.0,142959.7
2018-01-09 08:00:00,8.7,16.0,1401.4,69383.3,-0.0,151155.3
2018-01-09 09:00:00,9.4,89.0,2053.6,73502.3,-0.0,171218.9
2018-01-09 10:00:00,9.6,249.5,2753.5,66831.0,-0.0,192310.9
2018-01-09 11:00:00,10.6,374.0,2482.1,78709.9,-0.0,217651.0
2018-01-09 12:00:00,11.7,445.0,2736.8,59462.7,-0.0,197161.7
2018-01-09 13:00:00,11.1,302.0,3248.3,46564.6,-0.0,183277.9
2018-01-09 14:00:00,10.0,157.0,4885.1,28437.1,-0.0,164506.7
2018-01-09 15:00:00,10.0,174.0,4189.4,35824.6,-0.0,172353.2
2018-01-09 16:00:00,9.4,87.0,4150.8,29783.1,-0.0,160584.5
2018-01-09 17:00:00,8.9,55.0,3027.5,34936.4,-0.0,160278.9
2018-01-09 18:00:00,8.9,2.5,2952.2,30376.2,-0.0,154352.7
2018-01-09 19:00:00,7.2,0.0,2922.5,30524.0,-0.0,165413.8
2018-01-09 20:00:00,6.7,0.0,2958.8,38212.1,-0.0,193121.3
2018-01-09 21:00:00,7.8,0.0,3428.2,39915.7,-0.0,226390.6
2018-01-09 22:00:00,8.9,0.0,3406.9,48173.9,-0.0,255818.9
2018-01-09 23:00:00,8.9,0.0,3739.8,49441.6,-0.0,263623.8
2018-01-10 00:00:00,8.9,0.0,3947.4,49937.2,-0.0,249401.2
2018-01-10 01:00:00,10.0,0.0,3368.2,56612.6,-0.0,227599.2
2018-01-10 02:00:00,8.9,0.0,2876.8,57992.0,-0.0,191666.9
2018-01-10 03:00:00,9.4,0.0,1663.2,76634.3,-0.0,176952.8
2018-01-10 04:00:00,9.4,0.0,1626.4,55335.2,-0.0,141951.0
2018-01-10 05:00:00,9.4,0.0,1475.9,57290.1,-0.0,137458.9
2018-01-10 06:00:00,10.0,0.0,1597.0,58371.0,-0.0,135832.2
2018-01-10 07:00:00,10.0,0.0,1590.2,64869.2,-0.0,142656.3
2018-01-10 08:00:00,10.0,28.5,1389.7,73136.8,-0.0,156377.3
2018-01-10 09:00:00,11.7,143.5,2200.7,69364.0,-0.0,167133.3
2018-01-10 10:00:00,12.8,275.0,2547.1,80013.0,-0.0,207028.8
2018-01-10 11:00:00,13.3,446.5,2843.3,59941.2,-0.0,197283.3
2018-01-10 12:00:00,13.3,521.5,3315.8,54765.7,-0.0,192767.3
2018-01-10 13:00:00,13.3,493.5,3167.1,60059.5,-0.0,195194.6
2018-01-10 14:00:00,12.8,408.5,3131.4,65023.1,-0.0,198326.7
2018-01-10 15:00:00,13.3,401.5,3813.2,48960.1,-0.0,182284.0
2018-01-10 16:00:00,12.8,234.5,4817.5,43291.3,-0.0,174289.9
2018-01-10 17:00:00,10.6,89.0,4647.2,42993.5,-0.0,165668.0
2018-01-10 18:00:00,10.6,2.0,6181.1,31693.7,-0.0,157603.0
2018-01-10 19:00:00,9.4,0.0,6313.4,26942.8,-0.0,163918.2
2018-01-10 20:00:00,9.4,0.0,4527.7,42895.7,-0.0,201330.2
2018-01-10 21:00:00,9.4,0.0,4638.3,30950.9,-0.0,216677.3
2018-01-10 22:00:00,9.4,0.0,4146.2,45115.3,-0.0,256049.9
2018-01-10 23:00:00,8.9,0.0,4448.9,46343.3,-0.0,261032.1
2018-01-11 00:00:00,8.3,0.0,3688.3,66966.0,-0.0,269129.9
2018-01-11 01:00:00,6.7,0.0,4130.8,52932.3,-0.0,224051.3
2018-01-11 02:00:00,6.1,0.0,3845.9,42856.0,-0.0,179891.3
2018-01-11 03:00:00,5.0,0.0,2516.2,49307.3,-0.0,150532.0
2018-01-11 04:00:00,3.9,0.0,1634.2,59461.1,-0.0,144569.7
2018-01-11 05:00:00,3.9,0.0,1295.1,68831.9,-0.0,148106.9
2018-01-11 06:00:00,1.7,0.0,1048.1,78663.8,-0.0,155580.9
2018-01-11 07:00:00,2.2,0.0,1015.0,90508.8,-0.0,169095.1
