datetime,temperature,solar,cooling,heating,pv,total
2018-01-01 01:00:00,11.1,0.0,0.5,3314.0,-0.0,13832.7
2018-01-01 02:00:00,10.6,0.0,0.1,3901.3,-0.0,11921.2
2018-01-01 03:00:00,8.9,0.0,15.7,2106.6,-0.0,7492.9
2018-01-01 04:00:00,8.3,0.0,0.1,509.2,-0.0,4591.3
2018-01-01 05:00:00,8.3,0.0,0.1,506.4,-0.0,5054.3
2018-01-01 06:00:00,7.8,0.0,0.0,1057.0,-0.0,5003.2
2018-01-01 07:00:00,7.2,0.0,0.1,1260.5,-0.0,5101.7
2018-01-01 08:00:00,8.2,4.0,0.0,1363.0,-0.0,5341.2
2018-01-01 09:00:00,9.4,77.0,0.1,2429.0,-0.0,7134.5
2018-01-01 10:00:00,11.7,196.5,0.0,2272.3,-0.0,8698.4
2018-01-01 11:00:00,11.7,305.0,0.1,1755.5,-0.0,8835.6
2018-01-01 12:00:00,12.2,398.0,9.0,1748.0,-0.0,9589.0
2018-01-01 13:00:00,12.8,404.5,33.3,1229.5,-0.0,8738.3
2018-01-01 14:00:00,13.9,365.0,6.3,1084.3,-0.0,7731.0
2018-01-01 15:00:00,13.9,310.5,0.3,511.3,-0.0,6905.1
2018-01-01 16:00:00,13.9,205.0,35.7,404.2,-0.0,7659.7
2018-01-01 17:00:00,13.4,79.0,99.2,246.2,-0.0,7521.5
2018-01-01 18:00:00,13.3,3.0,108.2,186.8,-0.0,6836.3
2018-01-01 19:00:00,13.9,0.0,170.1,369.0,-0.0,8123.7
2018-01-01 20:00:00,13.9,0.0,152.5,302.1,-0.0,8688.9
2018-01-01 21:00:00,11.1,0.0,157.7,395.5,-0.0,9934.2
2018-01-01 22:00:00,11.7,0.0,116.5,455.1,-0.0,12213.2
2018-01-01 23:00:00,11.7,0.0,74.2,479.2,-0.0,11605.0
2018-01-02 00:00:00,11.7,0.0,26.2,402.8,-0.0,9792.1
2018-01-02 01:00:00,11.7,0.0,28.7,527.3,-0.0,8967.8
2018-01-02 02:00:00,10.6,0.0,2.5,681.9,-0.0,7659.8
2018-01-02 03:00:00,10.0,0.0,21.0,450.1,-0.0,5400.8
2018-01-02 04:00:00,10.0,0.0,0.1,576.7,-0.0,5225.5
2018-01-02 05:00:00,10.6,0.0,0.0,601.1,-0.0,5120.7
2018-01-02 06:00:00,11.1,0.0,0.1,1075.1,-0.0,4992.5
2018-01-02 07:00:00,10.6,0.0,0.1,1112.9,-0.0,5163.1
2018-01-02 08:00:00,10.6,3.0,0.0,1014.6,-0.0,5279.7
2018-01-02 09:00:00,11.1,54.0,11.0,1796.6,-0.0,7097.5
2018-01-02 10:00:00,12.2,130.5,0.0,1555.6,-0.0,8253.0
2018-01-02 11:00:00,12.2,190.5,1.6,1289.5,-0.0,8685.0
2018-01-02 12:00:00,12.2,163.5,28.1,1456.2,-0.0,8646.7
2018-01-02 13:00:00,12.8,96.0,0.0,1278.4,-0.0,8834.9
