datetime,temperature,solar,cooling,heating,pv,total
2018-01-01 01:00:00,11.1,0.0,26.3,12044.5,-0.0,46063.8
2018-01-01 02:00:00,10.6,0.0,37.6,12840.1,-0.0,38751.1
2018-01-01 03:00:00,8.9,0.0,36.1,9231.8,-0.0,28897.1
2018-01-01 04:00:00,8.3,0.0,18.7,3697.3,-0.0,19983.1
2018-01-01 05:00:00,8.3,0.0,7.1,4207.3,-0.0,19471.1
2018-01-01 06:00:00,7.8,0.0,5.4,6292.7,-0.0,21488.4
2018-01-01 07:00:00,7.2,0.0,15.3,7058.1,-0.0,22608.3
2018-01-01 08:00:00,8.2,4.0,4.9,7305.8,-0.0,23831.9
2018-01-01 09:00:00,9.4,77.0,11.8,7466.9,-0.0,27434.2
2018-01-01 10:00:00,11.7,196.5,7.6,8237.9,-0.0,34300.8
2018-01-01 11:00:00,11.7,305.0,13.4,7911.7,-711.8,35504.8
2018-01-01 12:00:00,12.2,398.0,36.2,7189.6,-2093.7,38301.6
2018-01-01 13:00:00,12.8,404.5,37.3,3719.9,-3334.5,34649.1
2018-01-01 14:00:00,13.9,365.0,142.7,1925.6,-4472.0,33753.3
2018-01-01 15:00:00,13.9,310.5,294.9,1146.0,-4930.5,33327.1
2018-01-01 16:00:00,13.9,205.0,529.0,1148.7,-4546.9,33898.4
2018-01-01 17:00:00,13.4,79.0,829.3,605.4,-3941.7,30521.2
2018-01-01 18:00:00,13.3,3.0,914.5,365.0,-3019.3,29512.5
2018-01-01 19:00:00,13.9,0.0,1115.3,471.5,-1756.2,29759.7
2018-01-01 20:00:00,13.9,0.0,881.1,295.5,-0.0,33936.5
2018-01-01 21:00:00,11.1,0.0,587.4,356.1,-0.0,38186.1
2018-01-01 22:00:00,11.7,0.0,256.9,615.5,-0.0,40770.6
2018-01-01 23:00:00,11.7,0.0,176.1,1028.7,-0.0,39868.0
2018-01-02 00:00:00,11.7,0.0,46.6,1949.1,-0.0,37571.4
2018-01-02 01:00:00,11.7,0.0,50.2,2579.5,-0.0,35352.0
2018-01-02 02:00:00,10.6,0.0,61.0,3101.6,-0.0,27469.1
2018-01-02 03:00:00,10.0,0.0,32.7,3728.5,-0.0,22038.0
2018-01-02 04:00:00,10.0,0.0,23.7,4288.2,-0.0,20608.7
2018-01-02 05:00:00,10.6,0.0,7.0,5028.5,-0.0,20386.4
2018-01-02 06:00:00,11.1,0.0,4.4,6398.1,-0.0,21589.9
2018-01-02 07:00:00,10.6,0.0,13.1,6814.9,-0.0,22211.5
2018-01-02 08:00:00,10.6,3.0,7.9,6626.9,-0.0,23125.5
2018-01-02 09:00:00,11.1,54.0,9.0,6171.5,-0.0,25786.0
2018-01-02 10:00:00,12.2,130.5,15.5,6400.2,-0.0,31198.6
2018-01-02 11:00:00,12.2,190.5,62.6,6448.7,-350.5,35996.4
2018-01-02 12:00:00,12.2,163.5,28.0,6215.0,-1047.2,35711.5
2018-01-02 13:00:00,12.8,96.0,12.4,4181.6,-1848.1,36364.8
2018-01-02 14:00:00,13.3,100.5,50.2,2947.9,-1880.2,34097.3
2018-01-02 15:00:00,14.4,70.5,14.9,2706.7,-1226.8,35519.7
2018-01-02 16:00:00,13.9,90.5,11.0,3768.1,-896.0,34025.8
2018-01-02 17:00:00,13.9,52.5,25.9,3524.5,-768.8,32502.1
2018-01-02 18:00:00,13.9,2.0,19.3,2700.3,-808.9,29176.4
2018-01-02 19:00:00,13.9,0.0,20.4,2640.9,-795.3,32236.8
2018-01-02 20:00:00,14.4,0.0,27.0,2392.2,-0.0,35783.0
2018-01-02 21:00:00,13.9,0.0,53.0,2148.9,-0.0,38019.7
2018-01-02 22:00:00,13.9,0.0,54.6,2525.9,-0.0,44397.6
2018-01-02 23:00:00,13.6,0.0,70.0,2987.0,-0.0,46191.0
2018-01-03 00:00:00,13.9,0.0,52.2,3150.2,-0.0,44559.0
2018-01-03 01:00:00,11.7,0.0,49.5,3423.4,-0.0,38777.6
2018-01-03 02:00:00,12.2,0.0,41.8,3561.3,-0.0,28763.8
2018-01-03 03:00:00,11.7,0.0,27.2,3541.5,-0.0,23201.8
2018-01-03 04:00:00,11.7,0.0,30.9,4590.7,-0.0,21319.1
2018-01-03 05:00:00,11.7,0.0,8.8,4633.7,-0.0,20530.5
2018-01-03 06:00:00,11.1,0.0,5.4,6042.9,-0.0,21556.0
2018-01-03 07:00:00,11.1,0.0,12.8,6415.2,-0.0,22214.5
2018-01-03 08:00:00,11.1,1.0,7.0,5889.3,-0.0,22198.4
2018-01-03 09:00:00,11.7,6.5,13.3,5692.9,-0.0,25089.0
2018-01-03 10:00:00,12.8,12.0,16.6,5789.8,-0.0,31596.5
2018-01-03 11:00:00,12.5,19.0,13.9,6424.7,0.0,34762.8
2018-01-03 12:00:00,12.2,37.5,6.2,7034.3,-25.3,37528.1
2018-01-03 13:00:00,12.8,75.5,0.0,5575.6,-87.7,36665.1
2018-01-03 14:00:00,11.7,48.0,15.7,5258.1,-213.8,36747.9
2018-01-03 15:00:00,11.7,34.0,3.8,5629.5,-488.9,38311.0
2018-01-03 16:00:00,12.2,64.5,11.6,7181.3,-539.5,37293.3
2018-01-03 17:00:00,12.2,33.0,1.7,7177.4,-337.9,36510.3
2018-01-03 18:00:00,12.8,2.0,0.7,6576.6,-418.6,35238.3
2018-01-03 19:00:00,12.2,0.0,9.5,6341.3,-420.4,35917.9
2018-01-03 20:00:00,12.2,0.0,0.0,6360.1,-0.0,39643.6
2018-01-03 21:00:00,11.8,0.0,9.0,5452.5,-0.0,41686.7
2018-01-03 22:00:00,11.7,0.0,21.0,5592.2,-0.0,45303.0
2018-01-03 23:00:00,12.0,0.0,25.4,5784.9,-0.0,48145.6
2018-01-04 00:00:00,11.7,0.0,25.6,6681.0,-0.0,46582.6
2018-01-04 01:00:00,12.2,0.0,13.8,6773.8,-0.0,38394.2
2018-01-04 02:00:00,12.2,0.0,37.0,6636.8,-0.0,30221.7
2018-01-04 03:00:00,12.2,0.0,11.4,6895.9,-0.0,25314.1
2018-01-04 04:00:00,12.2,0.0,12.3,6497.1,-0.0,23055.0
2018-01-04 05:00:00,12.0,0.0,4.0,6274.7,-0.0,22455.3
2018-01-04 06:00:00,11.7,0.0,3.9,7396.4,-0.0,22923.7
2018-01-04 07:00:00,11.8,0.0,8.4,7947.3,-0.0,23749.0
2018-01-04 08:00:00,11.7,4.0,8.8,6940.8,-0.0,23632.1
2018-01-04 09:00:00,13.3,68.0,44.8,6027.1,-0.0,24620.1
2018-01-04 10:00:00,12.8,153.5,26.1,6141.3,-0.0,30252.9
2018-01-04 11:00:00,13.0,161.5,1.1,5722.6,-575.7,33403.7
2018-01-04 12:00:00,13.3,172.0,11.8,5036.8,-1626.0,35037.3
2018-01-04 13:00:00,13.3,223.5,51.2,3170.3,-2021.4,35026.9
2018-01-04 14:00:00,13.3,358.5,80.9,2461.4,-1777.7,33406.0
2018-01-04 15:00:00,13.3,328.0,116.7,2083.7,-2027.2,32612.2
2018-01-04 16:00:00,13.9,247.5,54.9,2966.6,-3427.4,33957.2
2018-01-04 17:00:00,15.6,97.5,104.2,2066.3,-4159.2,30694.0
2018-01-04 18:00:00,16.1,4.5,255.6,1057.4,-3480.9,29206.8
2018-01-04 19:00:00,16.1,0.0,536.2,772.4,-2216.0,30728.1
2018-01-04 20:00:00,16.1,0.0,604.1,376.2,-0.0,35380.8
2018-01-04 21:00:00,15.6,0.0,439.9,326.7,-0.0,37389.7
2018-01-04 22:00:00,16.1,0.0,300.3,694.9,-0.0,41471.6
2018-01-04 23:00:00,15.8,0.0,318.5,1116.5,-0.0,41921.9
2018-01-05 00:00:00,15.6,0.0,236.3,1363.7,-0.0,40526.8
2018-01-05 01:00:00,13.9,0.0,195.4,1398.4,-0.0,32505.6
2018-01-05 02:00:00,13.3,0.0,118.4,1771.6,-0.0,26615.2
2018-01-05 03:00:00,14.0,0.0,80.3,1956.4,-0.0,20514.1
2018-01-05 04:00:00,14.4,0.0,52.8,2340.6,-0.0,18673.4
2018-01-05 05:00:00,14.2,0.0,28.6,3039.7,-0.0,18338.0
2018-01-05 06:00:00,13.9,0.0,22.5,3753.3,-0.0,18603.1
2018-01-05 07:00:00,15.0,0.0,50.1,3408.8,-0.0,18952.6
2018-01-05 08:00:00,13.9,4.0,35.6,3265.6,-0.0,19210.6
2018-01-05 09:00:00,14.0,22.0,61.9,3045.8,-0.0,21586.9
2018-01-05 10:00:00,15.0,64.0,69.7,2589.5,-0.0,27229.5
2018-01-05 11:00:00,14.5,36.5,34.1,3083.0,-184.6,30137.4
2018-01-05 12:00:00,16.4,86.5,62.6,3367.6,-418.4,33036.6
2018-01-05 13:00:00,17.2,65.5,47.0,2738.8,-421.7,34287.1
2018-01-05 14:00:00,15.0,96.5,49.9,2491.0,-534.6,31785.4
2018-01-05 15:00:00,14.0,142.5,16.3,2095.8,-668.3,31340.3
2018-01-05 16:00:00,13.9,53.0,3.7,3038.2,-714.0,31674.0
2018-01-05 17:00:00,13.5,13.5,3.2,3500.8,-1128.7,30177.1
2018-01-05 18:00:00,12.8,1.5,11.9,3290.0,-903.4,31171.5
2018-01-05 19:00:00,12.8,0.0,9.4,3630.2,-258.0,32591.7
2018-01-05 20:00:00,12.1,0.0,19.2,3872.9,-0.0,37849.9
2018-01-05 21:00:00,12.0,0.0,30.2,3836.6,-0.0,42684.5
2018-01-05 22:00:00,11.8,0.0,17.2,4014.0,-0.0,43176.8
2018-01-05 23:00:00,12.0,0.0,83.8,4860.1,-0.0,46343.0
2018-01-06 00:00:00,12.1,0.0,35.7,5271.9,-0.0,43931.0
2018-01-06 01:00:00,12.2,0.0,18.8,6027.8,-0.0,40441.8
2018-01-06 02:00:00,11.7,0.0,35.0,5999.2,-0.0,31499.5
2018-01-06 03:00:00,11.8,0.0,25.8,5708.7,-0.0,25164.3
2018-01-06 04:00:00,11.7,0.0,16.8,5808.1,-0.0,22612.3
2018-01-06 05:00:00,11.4,0.0,6.4,6059.8,-0.0,21505.7
2018-01-06 06:00:00,11.0,0.0,6.0,7193.8,-0.0,22369.8
2018-01-06 07:00:00,11.1,0.0,9.3,7593.2,-0.0,22976.8
2018-01-06 08:00:00,11.7,3.0,6.8,7801.4,-0.0,24418.4
2018-01-06 09:00:00,12.2,89.0,23.3,8298.2,-0.0,25797.5
2018-01-06 10:00:00,13.3,241.5,16.6,8533.2,-0.0,30520.0
2018-01-06 11:00:00,13.0,350.0,33.3,8001.8,-786.4,34482.5
2018-01-06 12:00:00,13.9,464.5,20.9,6165.3,-2730.5,37387.5
