name,unit,fuel,capacity[MW],type,start[y],retirement[y],latitude,longitude,county,state
Afton generating station,CC1,NG,287,CC,2007,,32.114185,-106.8465,Dona Ana,New Mexico
Agua Fria power station,AF7,NG,50,CT,2022,,33.5561,-112.2153,Maricopa,Arizona
Agua Fria power station,AF8,NG,50,CT,2022,,33.5561,-112.2153,Maricopa,Arizona
Agua Mansa power plant,AMP1,NG,61,CT,2003,,34.0414,-117.3603,San Bernardino,California
Alamitos energy center,3,NG,310,ST,1961,,33.767229,-118.1002,Los Angeles,California
Alamitos energy center,4,NG,310,ST,1962,,33.767229,-118.1002,Los Angeles,California
Alamitos energy center,5,NG,495,ST,1964,,33.767229,-118.1002,Los Angeles,California
Alamitos energy center,CCT1,NG,678,CC,2020,,33.767229,-118.1002,Los Angeles,California
Algonquin Power Sanger power station,CC1,NG,62,CC,2012,,36.6842,-119.5522,Fresno,California
Almond power plant,1,NG,50,CT,1996,,37.5744,-120.985,Stanislaus,California
Almond power plant,2,NG,58,CT,2012,,37.5744,-120.985,Stanislaus,California
Almond power plant,3,NG,58,CT,2012,,37.5744,-120.985,Stanislaus,California
Almond power plant,4,NG,58,CT,2012,,37.5744,-120.985,Stanislaus,California
AltaGas Ripon Energy power station,GEN1,NG,50,CT,1988,,37.732533,-121.116,San Joaquin,California
Apache Generating Station,ST2,NG,204,ST,2017,,32.0603,-109.8931,Cochise,Arizona
Apex generating station,CC1,NG,601,CC,2003,,36.415999,-114.9609,Clark,Nevada
Arapahoe Station,A567,NG,194,CC,2002,,39.6692,-105.0018,Denver,Colorado
Arlington Valley energy facility,CC1,NG,713,CC,2002,,33.3417,-112.8897,Maricopa,Arizona
Barre Peaker power station,1,NG,50,CT,2007,,33.8073,-117.9832,Orange,California
Basin Creek Plant,1,NG,54.9,IC,2006,,45.9293,-112.5194,Silver Bow,Montana
Bennett Mountain power station,1,NG,173,CT,2005,,43.147153,-115.6666,Elmore,Idaho
Black Mountain generating station,1,NG,61,CT,2008,,35.0361,-114.1594,Mohave,Arizona
Black Mountain generating station,2,NG,61,CT,2008,,35.0361,-114.1594,Mohave,Arizona
Bluffview power station,CC1,NG,67,CC,2005,,36.716628,-108.2153,San Juan,New Mexico
Blythe Energy power station,CC1,NG,591,CC,2003,,33.6157,-114.6865,Riverside,California
Brush generation facility,BCP,NG,74,CC,1994,,40.2415,-103.631,Morgan,Colorado
Brush generation facility,BIV,NG,138,CC,2002,,40.2415,-103.631,Morgan,Colorado
Brush generation facility,CPP,NG,62,CC,1990,,40.2415,-103.631,Morgan,Colorado
CalPeak Power Border Peaker Plant,CPP4,NG,61,CT,2001,,32.562448,-116.9439,San Diego,California
CalPeak Power Enterprise Peaker Plant,CPP7,NG,59,CT,2001,,33.121943,-117.1174,San Diego,California
CalPeak Power Panoche Peaker Plant,CPP2,NG,61,CT,2001,,36.652905,-120.5806,Fresno,California
CalPeak Power Vaca Dixon Peaker Plant,CPP1,NG,61,CT,2002,,38.398867,-121.924,Solano,California
Canyon power plant,CPP1,NG,50,CT,2011,,33.858056,-117.8617,Orange,California
