geocode,heating[MW/degC],cooling[MW/degC,solar[MW/W/m^2]
9mugye,-0.115,0.015,-0.0
9mupxf,-0.196,-0.038,-0.0
9mvgzn,-0.256,-0.08,-0.001
9mvxbk,-0.091,-0.023,-0.001
9myfry,-0.132,-0.053,-0.001
9ppzef,0.0,0.0,0.0
9prvd4,0.0,0.0,0.0
9px9td,0.031,0.003,-0.0
9pxv8j,0.064,0.008,-0.0
9pzvuq,0.072,0.011,-0.0
9q3wpm,0.019,0.039,-0.0
9q4skr,-0.003,0.012,-0.0
9q573n,-0.024,0.005,-0.0
9q5fsc,-0.092,-0.009,-0.001
9q6371,-0.121,0.025,-0.001
9q6v1w,-0.079,-0.002,-0.001
9q7944,-0.067,-0.024,-0.001
9q7w15,-0.034,-0.043,-0.001
9q8uz7,0.001,0.079,-0.0
9q8w8k,-0.001,0.058,-0.0
9q94x9,0.009,0.046,-0.001
9q97wz,-0.02,0.023,-0.001
9q9bk8,0.014,0.011,-0.0
9q9q1v,0.006,0.022,-0.001
9q9r8z,-0.057,0.016,-0.001
9q9vww,-0.073,0.008,-0.001
9q9zb3,-0.064,0.02,-0.001
9qb8qz,0.021,0.065,-0.001
9qbe4t,-0.021,0.03,-0.001
9qbwqu,0.003,0.024,-0.001
9qc39n,-0.085,0.011,-0.001
9qc506,-0.011,0.052,-0.001
9qcdwz,-0.048,0.021,-0.001
9qck41,-0.048,0.019,-0.001
9qcnfk,0.004,0.014,-0.001
9qcqnd,-0.043,0.006,-0.001
9qcxqs,-0.023,0.009,-0.001
9qd5sg,-0.085,0.014,-0.001
9qdcjh,-0.088,-0.03,-0.001
9qdgej,-0.054,0.007,-0.001
9qdtxr,-0.054,-0.01,-0.0
9qerwy,-0.006,0.006,-0.001
9qf30x,0.066,0.047,-0.001
9qf4wq,0.1,0.062,-0.001
9qf8q1,0.115,0.071,-0.001
9qfg9y,-0.0,-0.0,-0.0
9qfk9h,0.133,0.076,-0.002
9qfnhz,0.079,0.03,-0.001
9qfpec,0.136,0.076,-0.002
9qfvq4,0.051,0.009,-0.0
9qgg17,0.015,0.003,-0.0
9qgjzx,0.029,0.017,-0.0
9qjqk1,-0.136,-0.046,-0.001
9qkxbr,-0.003,-0.002,-0.001
9qpvn0,0.013,0.017,-0.0
9qqnnb,-0.086,-0.04,-0.001
9qr55w,-0.013,-0.007,-0.001
9qsqgj,0.014,0.0,-0.0
9qtpvz,0.018,0.031,-0.001
9qwq45,0.003,0.037,-0.001
9qx7cx,-0.017,-0.014,-0.001
9qxrtt,0.023,0.011,-0.0
9qz6pn,0.018,0.006,-0.0
9qzt9e,0.034,0.015,-0.0
9r00qf,-0.006,0.042,-0.001
