['GEN_BUS', 'PG', 'QG', 'QMAX', 'QMIN', 'VG', 'MBASE', 'GEN_STATUS', 'PMAX', 'PMIN', 'PC1', 'PC2', 'QC1MIN', 'QC1MAX', 'QC2MIN', 'QC2MAX', 'RAMP_AGC', 'RAMP_10', 'RAMP_30', 'RAMP_Q', 'APF', 'MU_PMAX0']
GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF,MU_PMAX0
1032,873,0,0,-0,1,100,1,873,174.6,0,0,0,0,0,0,0,20,0,0,0,0
1032,0,0,0,-0,1,100,0,1050,0,0,0,0,0,0,0,0,5,0,0,0,0
1032,0,0,0,-0,1,100,1,638,0,0,0,0,0,0,0,0,500,0,0,0,0
1034,1682,0,0,-0,1,100,1,1944,388.8,0,0,0,0,0,0,0,20,0,0,0,0
1034,0,0,0,-0,1,100,0,2700,0,0,0,0,0,0,0,0,3.55556,0,0,0,0
1034,884.091,0,0,-0,1,100,1,1682,0,0,0,0,0,0,0,0,500,0,0,0,0
1131,1268,0,0,-0,1,100,1,1268,253.6,0,0,0,0,0,0,0,20,0,0,0,0
1131,2419,0,0,-0,1,100,1,4934,0,0,0,0,0,0,0,0,5.4856,0,0,0,0
1232,396,0,0,-0,1,100,1,4977,995.4,0,0,0,0,0,0,0,20,0,0,0,0
1232,646.122,0,0,-0,1,100,1,1199,181,0,0,0,0,0,0,0,5.995,0,0,0,0
1331,696.636,0,0,-0,1,100,1,2167,0,0,0,0,0,0,0,0,5.30303,0,0,0,0
1331,665.206,0,0,-0,1,100,1,2328,352,0,0,0,0,0,0,0,11.64,0,0,0,0
1333,418,0,0,-0,1,100,1,418,83.6,0,0,0,0,0,0,0,20,0,0,0,0
1333,2000,0,0,-0,1,100,1,7011,0,0,0,0,0,0,0,0,5.5691,0,0,0,0
1333,0,0,0,-0,1,100,1,2423,0,0,0,0,0,0,0,0,500,0,0,0,0
1431,696.493,0,0,-0,1,100,1,9170,0,0,0,0,0,0,0,0,6,0,0,0,0
1431,1666,0,0,-0,1,100,1,4210,2000,0,0,0,0,0,0,0,2,0,0,0,0
1431,0,0,0,-0,1,100,1,2419,0,0,0,0,0,0,0,0,500,0,0,0,0
2030,520,0,0,-0,1,100,1,699,0,0,0,0,0,0,0,0,20,0,0,0,0
