bus,gen,cap,cf,units
9muccv,CC,688.5,0.334,1
9muccv,CT,634.4,0.308,7
9muccv,WT,50.0,0.024,1
9mudw2,CC,782.1,0.707,7
9mudw2,CT,252.8,0.228,5
9mudw2,ES,65.5,0.059,2
9mudw2,HT,42.0,0.038,1
9mudw2,IC,10.0,0.009,1
9mudw2,PV,15.1,0.014,1
9mudw2,ST,10.0,0.009,1
9mumuf,CT,1117.6,1.0,2
9mumuf,ST,999.6,0.894,1
9mupsy,CC,19.0,0.034,1
9mupsy,CT,505.8,0.914,3
9mupsy,ES,12.7,0.023,1
9mupsy,ST,464.7,0.84,3
9mvffm,CC,388.3,0.184,1
9mvffm,CT,49.8,0.024,1
9mvffm,ES,388.3,0.184,1
9mvffm,PV,1229.4,0.584,12
9mvffm,ST,610.6,0.29,6
9mvffm,WT,265.4,0.126,1
9mvgw4,CC,62.6,0.024,1
9mvgw4,CT,546.0,0.21,2
9mvgw4,HT,62.6,0.024,3
9mvgw4,PV,1126.7,0.434,9
9mvgw4,ST,1221.3,0.471,15
9mzqxj,CC,7037.6,0.559,9
9mzqxj,ES,280.0,0.022,1
9mzqxj,PV,1088.1,0.086,16
9mzqxj,ST,4209.6,0.335,1
9pr8ne,IC,167.0,0.837,1
9pr8ne,ST,199.5,1.0,2
9q5bwz,CC,3138.1,0.459,7
9q5bwz,CT,4663.3,0.682,8
9q5bwz,ES,59.8,0.009,1
9q5bwz,ST,5167.4,0.756,6
9q5bwz,UNKNOWN,115.2,0.017,3
9q5cts,CC,1628.0,0.974,4
9q5cts,CT,876.0,0.524,1
9q5cts,PV,10.7,0.006,1
9q5cts,ST,909.0,0.544,2
9q5cw0,CC,130.0,0.917,1
9q5cw0,CT,11.8,0.083,1
9q5dy2,CC,31.1,0.017,1
9q5dy2,CT,209.8,0.112,5
9q5dy2,IC,13.2,0.007,1
9q5dy2,ST,1612.0,0.864,1
9q5epx,CT,65.8,0.857,2
9q5epx,HT,11.0,0.143,1
9q5evq,HT,111.3,1.0,2
9q5f6t,CC,1121.1,0.949,3
9q5f6t,CT,751.0,0.636,2
9q5f6t,ST,690.5,0.584,1
9q5fm0,CC,300.9,1.0,1
9q5fm0,CT,300.9,1.0,1
9q5fm0,ST,300.9,1.0,1
9q5fq8,CC,278.6,1.0,2
9q5fq8,CT,265.6,0.953,1
9q5sgb,CC,779.0,0.233,1
9q5sgb,HT,1775.8,0.532,3
9q5sgb,PV,785.0,0.235,9
9q5zqv,CT,48.2,0.009,1
9q5zqv,HT,51.9,0.01,2
9q5zqv,PV,1794.1,0.339,20
9q5zqv,ST,334.7,0.063,4
9q5zqv,WT,3067.3,0.579,34
9q603v,PV,22.5,0.01,1
9q603v,ST,2323.0,0.99,1
9q613c,CT,38.9,0.23,1
9q613c,PV,130.0,0.77,1
9q6tde,CT,111.6,0.1,2
9q6tde,PV,1001.0,0.9,25
9q713t,CC,2456.1,0.362,4
9q713t,CT,1625.0,0.239,23
9q713t,HT,26.4,0.004,1
9q713t,PV,2648.3,0.39,47
9q713t,ST,62.0,0.009,1
9q8yyc,CC,13.4,1.0,1
9q8yyz,CC,155.6,0.35,1
9q8yyz,CT,54.8,0.123,1
9q8yyz,PV,10.5,0.024,1
9q8yyz,ST,379.1,0.853,2
9q92vz,CC,1531.2,0.97,2
9q92vz,CT,47.3,0.03,1
9q92vz,ST,1398.0,0.886,1
9q97v8,CC,765.0,0.85,2
9q97v8,CT,135.0,0.15,1
9q9fy1,CC,300.6,0.274,1
9q9fy1,CT,73.8,0.067,2
9q9fy1,HT,449.2,0.409,2
9q9fy1,PV,256.0,0.233,4
9q9fy1,WT,17.4,0.016,1
9q9hq4,CC,27.0,0.652,1
9q9hq4,PV,14.4,0.348,1
9q9jb9,CT,11.4,1.0,1
9q9jk9,CC,655.0,1.0,1
9q9m24,CC,492.1,0.867,3
9q9m24,CT,64.6,0.114,1
9q9m24,IC,11.0,0.019,1
9q9m24,ST,11.0,0.019,1
9q9peh,CC,275.9,0.77,2
9q9peh,ST,82.2,0.23,2
9q9w99,CC,336.1,0.419,1
9q9w99,CT,199.6,0.249,1
9q9w99,WT,266.1,0.332,5
9q9wtp,CC,288.9,0.513,1
9q9wtp,CT,220.5,0.391,3
9q9wtp,ST,54.0,0.096,1
9qben2,ST,1772.4,1.0,6
9qc0p1,CC,213.5,0.807,2
9qc0p1,CT,51.0,0.193,1
9qc0p1,ST,100.0,0.378,1
9qc26h,CC,2241.5,0.533,3
9qc26h,CT,922.0,0.219,3
9qc26h,PV,19.2,0.005,1
9qc26h,WT,1025.7,0.244,9
9qc63x,CT,201.5,0.892,4
9qc63x,HT,11.5,0.051,1
9qc63x,PV,13.0,0.058,1
9qcbq0,CC,199.0,0.121,1
9qcbq0,CT,564.9,0.344,3
9qcbq0,HT,1028.1,0.626,9
9qcbq0,IC,199.0,0.121,1
9qcbq0,PV,25.0,0.015,1
9qcbq0,ST,167.4,0.102,2
9qcem3,CC,492.8,0.84,3
9qcem3,CT,395.9,0.675,3
9qcem3,PV,17.0,0.029,1
9qcf5u,CC,530.0,0.675,1
9qcf5u,HT,244.7,0.312,6
9qcf5u,PV,10.8,0.014,1
9qcggm,HT,1136.3,1.0,14
9qcjcp,ST,28.6,1.0,1
9qct8r,CC,636.0,0.788,1
9qct8r,CT,143.3,0.178,3
9qct8r,ST,28.0,0.035,1
9qcts0,CC,164.0,0.777,1
9qcts0,ST,47.1,0.223,2
9qcxqg,HT,650.7,0.959,11
9qcxqg,ST,27.5,0.041,1
9qd2ds,CT,682.2,0.573,4
9qd2ds,PV,495.8,0.416,10
9qd2ds,ST,12.5,0.01,1
9qd9xh,CC,82.6,0.104,1
9qd9xh,CT,82.6,0.104,1
9qd9xh,HT,649.7,0.818,7
9qd9xh,IC,49.6,0.062,1
9qd9xh,ST,12.5,0.016,1
9qdbm8,CC,97.7,0.142,2
9qdbm8,CT,213.2,0.31,2
9qdbm8,HT,165.0,0.24,1
9qdbm8,PV,183.6,0.267,10
9qdbm8,ST,28.0,0.041,1
9qe6tq,HT,1784.7,0.97,13
9qe6tq,ST,55.0,0.03,3
9qh0rw,CT,259.5,1.0,3
9qh18k,CT,575.6,1.0,4
9qh18k,PV,13.9,0.024,1
9qh18k,ST,13.9,0.024,1
9qh3ky,CC,79.8,0.117,2
9qh3ky,CT,555.7,0.818,8
9qh3ky,ES,145.8,0.215,3
9qh3ky,HT,23.9,0.035,1
9qh8k2,CC,1048.9,0.921,2
9qh8k2,CT,52.1,0.046,2
9qh8k2,HT,29.7,0.026,1
9qh8k2,PV,20.0,0.018,1
9qh8k2,ST,1048.9,0.921,2
9qhe90,HT,308.9,1.0,2
9qhh0n,PV,536.4,1.0,23
9qhkxd,PV,50.0,1.0,3
9qhsdk,CC,852.0,0.606,1
9qhsdk,PV,90.0,0.064,5
9qhsdk,ST,464.0,0.33,3
9qj152,CT,1058.5,0.618,4
9qj152,PV,56.5,0.033,3
9qj152,ST,55.5,0.032,1
9qj152,WT,543.3,0.317,15
9qndpr,CC,1954.0,0.7,3
9qndpr,CT,121.0,0.043,1
9qndpr,HT,139.5,0.05,2
9qndpr,PV,577.5,0.207,7
9qndpr,WT,10.5,0.004,1
9qq5wv,HT,254.8,0.267,1
9qq5wv,PV,299.5,0.314,1
9qq5wv,ST,399.8,0.419,3
9qqk6u,HT,1039.4,1.0,1
9qw0kp,CT,80.0,0.432,1
9qw0kp,IC,15.1,0.081,1
9qw0kp,PV,80.0,0.432,1
9qw0kp,ST,25.3,0.137,2
9r0vxp,CC,183.1,0.123,1
9r0vxp,CT,183.1,0.123,1
9r0vxp,HT,1305.4,0.877,5
9r106e,CC,712.4,1.0,1
9r13pb,HT,928.2,1.0,12
9r1867,HT,696.0,1.0,3
9r1jcf,HT,12.1,0.084,1
9r1jcf,IC,46.4,0.323,1
9r1jcf,ST,85.1,0.593,2
9r321k,HT,801.8,0.829,10
9r321k,ST,64.0,0.066,3
9r321k,WT,101.2,0.105,1
9r3wzq,CC,501.5,0.731,1
9r3wzq,CT,117.6,0.171,1
9r3wzq,PV,87.3,0.127,5
9r4bc7,HT,99.4,0.66,3
9r4bc7,ST,51.2,0.34,2
9r88yx,HT,411.0,0.818,12
9r88yx,ST,91.5,0.182,2
9rb6wg,CC,11.0,0.017,1
9rb6wg,CT,13.1,0.02,1
9rb6wg,HT,485.4,0.744,12
9rb6wg,ST,143.1,0.219,4
9rcvn1,HT,616.2,0.877,4
9rcvn1,PV,86.3,0.123,4
9rg8bx,CC,318.5,0.178,1
9rg8bx,HT,1266.7,0.708,4
9rg8bx,PV,30.0,0.017,3
9rg8bx,ST,33.0,0.018,1
9rg8bx,WT,140.7,0.079,5
9rkf69,HT,25.0,0.556,1
9rkf69,PV,20.0,0.444,1
9rpbwn,CC,1640.0,0.727,1
9rpbwn,PV,310.0,0.137,5
9rpbwn,ST,1640.0,0.727,1
9rpbwn,WT,305.5,0.135,2
9rwgcr,CT,443.7,0.282,2
9rwgcr,HT,558.1,0.354,13
9rwgcr,PV,180.0,0.114,5
9rwgcr,ST,10.2,0.006,1
9rwgcr,WT,483.9,0.307,25
9rx7st,HT,143.5,0.209,3
9rx7st,PV,40.0,0.058,2
9rx7st,ST,18.0,0.026,1
9rx7st,UNKNOWN,15.9,0.023,1
9rx7st,WT,490.5,0.713,7
9w01f3,CC,3753.2,0.493,4
9w01f3,CT,4994.8,0.656,10
9w01f3,ES,22.0,0.003,2
9w01f3,HT,282.0,0.037,5
9w01f3,PV,1332.0,0.175,20
9w01f3,ST,3471.0,0.456,6
9w1wf0,CT,660.7,0.347,1
9w1wf0,PV,221.0,0.116,4
9w1wf0,ST,1553.9,0.817,4
9w1wf0,WT,209.1,0.11,3
9w1zzg,CC,937.0,0.215,2
9w1zzg,CT,646.5,0.148,3
9w1zzg,HT,27.9,0.006,1
9w1zzg,PV,1873.6,0.43,5
9w1zzg,ST,2973.5,0.682,3
9w1zzg,WT,50.4,0.012,1
9w3h8n,WT,99.2,1.0,1
9w94m0,HT,1312.0,0.98,1
9w94m0,PV,27.3,0.02,1
9wbmjr,PV,420.4,0.219,6
9wbmjr,ST,1661.0,0.864,4
9wdb95,CC,159.5,0.042,1
9wdb95,CT,201.8,0.053,2
9wdb95,ST,3484.2,0.92,2
9wdb95,WT,102.4,0.027,1
9we1bp,CC,67.0,0.08,1
9we1bp,CT,164.8,0.196,2
9we1bp,HT,344.6,0.41,6
9we1bp,PV,10.1,0.012,1
9we1bp,ST,168.8,0.201,2
9we1bp,WT,100.0,0.119,1
9wve62,CC,3842.6,0.331,7
9wve62,CT,3911.3,0.337,13
9wve62,HT,526.6,0.045,3
9wve62,IC,278.1,0.024,3
9wve62,PV,454.5,0.039,14
9wve62,ST,4573.2,0.393,13
9wve62,WT,1811.1,0.156,15
9x06gc,CC,789.0,1.0,2
9x0gc5,CT,16.5,0.014,1
9x0gc5,IC,57.1,0.048,3
9x0gc5,ST,1109.5,0.934,3
9x0gc5,WT,18.9,0.016,1
9x0mgn,CC,1385.0,0.967,1
9x0mgn,CT,48.0,0.033,1
9x0ryy,CC,38.2,0.045,1
9x0ryy,CT,850.1,1.0,6
9x0ryy,IC,30.4,0.036,1
9x0ryy,ST,560.7,0.66,3
9x0ryy,UNKNOWN,38.2,0.045,1
9x27ep,CT,15.9,0.129,1
9x27ep,HT,107.5,0.871,4
9x27ep,ST,15.9,0.129,1
9x3mfn,CT,144.0,0.091,1
9x3mfn,HT,186.4,0.118,2
9x3mfn,PV,149.6,0.095,2
9x3mfn,ST,903.0,0.573,3
9x3mfn,WT,285.0,0.181,3
9x47er,CT,26.6,0.039,1
9x47er,HT,151.8,0.224,1
9x47er,ST,499.5,0.737,1
9x5w98,CC,84.0,0.041,1
9x5w98,HT,40.4,0.02,2
9x5w98,ST,1905.6,0.939,3
9x6z6m,HT,33.0,0.013,2
9x6z6m,ST,2441.9,0.982,1
9x6z6m,UNKNOWN,11.5,0.005,1
9xkgmv,CC,1718.4,0.187,4
9xkgmv,CT,2811.2,0.305,7
