FROM,TO
0,9
0,10
1,3
1,7
1,7
1,226
3,232
3,233
6,17
6,17
9,10
9,18
9,79
10,13
10,18
12,13
12,18
12,18
12,55
12,79
14,227
17,18
17,18
17,29
17,32
19,23
21,26
21,30
23,30
25,29
26,27
26,27
26,50
27,50
27,50
32,35
33,34
33,34
33,36
33,36
33,48
33,55
33,79
33,80
34,48
35,48
36,124
36,126
36,128
37,38
37,42
37,42
38,40
38,42
39,40
40,41
40,41
40,43
40,49
41,49
41,50
42,43
42,43
49,50
49,50
52,53
52,54
52,55
52,55
53,55
55,79
56,219
56,224
56,224
57,59
58,59
60,63
60,64
60,70
60,71
61,67
61,69
62,65
62,65
62,68
62,69
63,64
64,67
64,67
64,70
64,70
64,70
64,70
64,71
64,71
64,71
64,72
64,72
65,68
65,69
66,68
66,68
67,69
67,69
67,72
68,69
79,80
81,82
81,82
82,83
82,83
82,83
82,95
83,91
83,91
83,98
83,98
84,85
88,89
88,89
88,90
88,90
88,151
88,151
88,152
88,152
89,90
89,90
89,91
89,92
89,152
89,152
90,91
90,96
90,96
90,98
90,151
90,151
91,92
91,92
91,151
91,151
92,142
92,143
94,130
94,131
95,97
95,97
96,97
96,97
96,97
96,146
96,146
98,151
100,101
100,101
100,103
100,104
100,104
100,116
102,103
102,116
103,116
103,116
103,145
103,146
104,135
104,135
107,142
107,143
109,153
111,154
111,154
113,114
113,115
113,115
114,122
114,129
115,122
115,123
115,125
115,127
115,129
116,118
117,118
123,124
125,126
127,128
129,130
129,131
129,237
131,132
131,133
131,237
132,133
133,134
134,158
134,158
135,136
135,151
135,239
136,148
137,147
137,148
138,139
138,152
139,140
139,144
139,149
139,149
139,149
139,152
139,238
139,238
140,152
141,148
141,148
141,151
141,239
143,152
144,152
147,150
148,150
151,240
151,240
158,171
158,175
158,178
158,188
158,236
159,160
159,171
159,172
160,197
161,162
161,162
161,162
161,172
161,173
161,176
162,163
162,163
162,180
162,180
162,186
162,203
163,164
163,164
163,186
165,216
166,167
166,167
166,182
173,174
174,175
176,177
177,178
179,180
179,180
179,181
179,181
179,185
179,185
180,185
180,185
180,186
180,186
180,203
181,203
182,194
185,186
185,191
186,187
187,188
191,192
193,194
198,199
198,209
198,218
199,209
199,209
199,221
199,221
200,205
200,213
202,203
204,206
204,211
204,211
204,212
205,206
210,232
211,212
211,213
211,213
213,230
213,230
216,218
216,218
216,219
218,219
219,227
221,222
221,224
221,229
221,229
222,223
222,223
222,224
222,224
222,224
222,224
222,228
222,229
222,229
223,224
223,225
223,227
223,227
223,228
224,227
224,227
224,233
232,233
236,237
238,239
238,240
238,240
239,240
0,1
0,1
1,2
1,2
1,4
3,5
6,7
6,7
6,8
10,11
12,15
13,14
14,16
17,19
17,20
21,22
23,24
23,32
25,26
25,26
27,28
29,30
29,30
30,31
33,44
34,41
36,43
36,43
36,43
37,71
40,46
41,47
43,45
48,49
48,49
48,49
50,51
53,64
54,67
54,67
55,59
56,76
57,73
58,73
60,78
62,74
63,75
64,77
66,73
66,73
82,84
83,86
85,87
91,93
94,96
94,96
94,96
96,99
101,105
102,106
107,108
109,110
111,112
111,217
111,217
113,119
114,116
115,117
115,117
117,120
118,121
129,145
130,146
130,156
131,151
132,152
133,150
134,149
139,153
148,154
148,154
149,155
151,157
158,165
158,168
162,169
163,166
163,166
164,167
166,170
179,183
180,184
181,182
185,189
186,190
191,195
192,193
192,196
197,198
198,201
199,200
202,204
202,207
203,205
206,208
209,211
210,212
211,214
213,215
216,217
216,217
218,220
221,230
221,230
223,231
225,226
232,234
233,235
236,238
237,240
238,241
239,242
167,71
56,52
